,Region,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Dependancy ratio
24,WORLD,1974,  546 653,  497 335,  440 283,  397 499,  350 748,  281 589,  241 167,  228 805,  207 025,  186 511,  157 307,  125 721,  114 871,  90 184,  63 216,  37 888,  18 876,  7 526,  1 952,   327,34,74.38209231
25,WORLD,1975,  546 574,  503 722,  456 531,  399 209,  361 653,  295 547,  242 715,  231 757,  208 983,  190 480,  161 836,  127 767,  115 983,  92 402,  65 150,  39 316,  19 552,  7 812,  2 063,   348,37,74.21059463
26,WORLD,1976,  545 127,  511 106,  472 003,  400 643,  371 043,  309 215,  246 533,  233 908,  211 983,  193 728,  165 975,  131 768,  116 095,  94 499,  67 015,  40 882,  20 347,  8 064,  2 165,   368,39,73.98977717
27,WORLD,1977,  543 680,  518 685,  482 260,  405 566,  379 581,  321 835,  254 457,  234 867,  215 838,  196 236,  170 322,  136 736,  115 424,  96 584,  68 874,  42 570,  21 231,  8 320,  2 278,   388,41,73.42709185
28,WORLD,1978,  542 525,  523 918,  486 666,  417 930,  387 319,  334 078,  265 052,  235 182,  219 693,  198 340,  174 528,  142 483,  114 605,  98 558,  70 837,  44 299,  22 178,  8 596,  2 416,   413,43,72.3300975
29,WORLD,1979,  543 800,  526 524,  491 231,  434 239,  391 834,  345 797,  277 299,  236 071,  223 223,  200 132,  178 523,  147 947,  114 674,  100 351,  72 917,  45 952,  23 103,  8 922,  2 558,   441,46,71.21689184
30,WORLD,1980,  548 692,  526 989,  497 718,  450 454,  393 870,  357 124,  291 443,  237 715,  226 225,  202 120,  182 391,  152 258,  116 650,  101 416,  74 881,  47 494,  24 070,  9 303,  2 675,   470,49,70.25215486
31,WORLD,1981,  556 540,  525 763,  505 161,  466 299,  395 784,  366 999,  305 402,  241 706,  228 524,  205 104,  185 574,  156 163,  120 381,  101 488,  76 687,  48 924,  25 082,  9 722,  2 773,   497,53,69.33879967
32,WORLD,1982,  567 530,  524 468,  512 866,  476 990,  400 942,  375 802,  318 215,  249 669,  229 680,  208 949,  188 033,  160 362,  124 958,  100 862,  78 518,  50 326,  26 162,  10 189,  2 878,   528,57,68.5683885
33,WORLD,1983,  579 086,  523 596,  518 323,  481 878,  413 297,  383 543,  330 447,  260 224,  230 107,  212 868,  190 083,  164 456,  130 275,  100 068,  80 278,  51 812,  27 254,  10 682,  2 984,   562,62,67.73630106
34,WORLD,1984,  588 952,  525 120,  521 015,  486 991,  429 677,  387 886,  342 043,  272 475,  231 036,  216 437,  191 856,  168 295,  135 430,  100 098,  81 885,  53 412,  28 304,  11 158,  3 106,   596,66,66.86334011
35,WORLD,1985,  598 278,  530 389,  521 474,  494 018,  445 893,  389 605,  353 091,  286 592,  232 638,  219 459,  193 837,  172 034,  139 604,  101 976,  82 887,  54 984,  29 347,  11 672,  3 255,   628,70,66.11251845
36,WORLD,1986,  607 677,  538 765,  520 267,  501 814,  461 593,  391 205,  362 671,  300 471,  236 603,  221 813,  196 781,  175 173,  143 443,  105 499,  83 034,  56 496,  30 371,  12 232,  3 423,   658,75,65.46729993
37,WORLD,1987,  616 953,  550 096,  518 961,  509 609,  472 215,  396 158,  371 271,  313 274,  244 525,  223 088,  200 547,  177 643,  147 518,  109 771,  82 607,  58 072,  31 429,  12 859,  3 617,   690,82,64.96185572
38,WORLD,1988,  625 964,  561 822,  518 170,  515 064,  477 170,  408 343,  378 879,  325 526,  255 014,  223 654,  204 407,  179 719,  151 479,  114 735,  82 046,  59 612,  32 553,  13 499,  3 827,   720,89,64.53586651
39,WORLD,1989,  634 819,  571 810,  519 922,  517 624,  482 367,  424 520,  383 245,  337 082,  267 321,  224 670,  207 997,  181 531,  155 187,  119 579,  82 247,  61 040,  33 757,  14 107,  4 029,   754,97,64.18770359
40,WORLD,1990,  642 748,  581 133,  525 331,  517 781,  489 391,  440 681,  385 243,  348 156,  281 481,  226 311,  211 137,  183 601,  158 786,  123 498,  84 083,  61 994,  34 954,  14 723,  4 248,   794,102,63.94957655
41,WORLD,1991,  646 245,  590 612,  533 734,  516 223,  497 016,  456 390,  387 181,  357 795,  295 310,  230 236,  213 641,  186 564,  161 838,  127 072,  87 318,  62 234,  36 089,  15 320,  4 482,   837,107,63.71676623
42,WORLD,1992,  644 299,  600 224,  545 247,  514 655,  504 359,  466 852,  392 196,  366 391,  307 927,  238 042,  215 023,  190 268,  164 265,  130 826,  91 175,  62 003,  37 263,  15 939,  4 739,   882,110,63.4738514
43,WORLD,1993,  640 709,  609 779,  557 406,  513 780,  509 135,  471 476,  404 198,  373 937,  319 856,  248 341,  215 649,  194 053,  166 296,  134 460,  95 598,  61 673,  38 436,  16 609,  4 999,   931,112,63.23934613
44,WORLD,1994,  635 995,  618 929,  567 680,  515 590,  511 223,  476 362,  420 198,  378 286,  331 071,  260 366,  216 653,  197 503,  168 033,  137 822,  99 859,  61 976,  39 526,  17 318,  5 242,   982,116,62.88538923
45,WORLD,1995,  629 561,  627 077,  577 264,  521 320,  511 258,  483 067,  435 966,  380 143,  341 756,  274 164,  218 192,  200 501,  170 003,  141 095,  103 283,  63 621,  40 259,  18 027,  5 499,  1 041,122,62.40441034
46,WORLD,1996,  624 459,  631 190,  587 092,  530 207,  509 826,  490 379,  451 075,  381 658,  351 007,  287 588,  221 964,  202 912,  172 875,  143 922,  106 418,  66 390,  40 480,  18 717,  5 751,  1 105,129,61.83247036
47,WORLD,1997,  621 932,  629 739,  596 691,  541 972,  508 568,  497 721,  461 220,  386 310,  359 341,  299 879,  229 595,  204 278,  176 463,  146 231,  109 718,  69 646,  40 407,  19 441,  6 016,  1 177,138,61.14389453
48,WORLD,1998,  620 210,  626 240,  605 950,  554 095,  508 028,  502 729,  465 813,  398 181,  366 791,  311 614,  239 736,  204 985,  180 136,  148 254,  112 954,  73 339,  40 354,  20 184,  6 320,  1 251,148,60.42707943
49,WORLD,1999,  619 190,  621 684,  615 045,  564 400,  510 103,  504 909,  470 540,  414 032,  371 101,  322 701,  251 574,  206 088,  183 538,  150 104,  116 033,  76 923,  40 795,  20 887,  6 638,  1 315,159,59.72047861
50,WORLD,2000,  619 565,  615 498,  623 257,  573 935,  516 152,  504 989,  477 115,  429 609,  372 959,  333 244,  265 097,  207 674,  186 547,  152 184,  119 086,  79 868,  42 222,  21 382,  6 959,  1 387,169,58.99629517
51,WORLD,2001,  621 252,  610 541,  627 321,  583 463,  525 254,  503 765,  484 568,  444 657,  374 528,  342 373,  278 236,  211 401,  188 981,  155 026,  121 738,  82 607,  44 480,  21 622,  7 291,  1 462,180,58.2521319
52,WORLD,2002,  623 778,  608 321,  626 007,  592 764,  536 805,  502 624,  492 008,  454 791,  379 169,  350 618,  290 262,  218 867,  190 428,  158 474,  123 955,  85 455,  47 010,  21 706,  7 638,  1 537,192,57.48198676
53,WORLD,2003,  627 026,  607 203,  622 787,  601 784,  548 489,  502 131,  497 011,  459 349,  390 905,  357 947,  301 693,  228 770,  191 297,  161 963,  125 965,  88 194,  49 780,  21 799,  7 983,  1 618,203,56.73713259
54,WORLD,2004,  630 789,  606 797,  618 466,  610 772,  558 341,  504 241,  499 203,  464 076,  406 576,  362 164,  312 511,  240 341,  192 576,  165 206,  127 845,  90 818,  52 521,  22 243,  8 341,  1 713,212,56.0120958
55,WORLD,2005,  634 207,  607 755,  612 531,  619 160,  567 578,  510 153,  499 219,  470 589,  421 940,  363 965,  322 829,  253 590,  194 330,  168 161,  129 917,  93 449,  54 833,  23 305,  8 622,  1 819,224,55.28365227
56,WORLD,2006,  637 557,  610 031,  607 855,  623 576,  577 070,  519 091,  497 947,  477 918,  436 772,  365 482,  331 744,  266 463,  198 140,  170 659,  132 631,  95 763,  56 949,  24 827,  8 775,  1 929,236,54.66005802
57,WORLD,2007,  642 225,  612 830,  605 743,  622 484,  586 544,  530 745,  497 022,  485 331,  446 840,  370 051,  339 827,  278 181,  205 487,  172 265,  135 866,  97 731,  59 146,  26 453,  8 876,  2 050,252,54.17604541
58,WORLD,2008,  648 366,  616 195,  604 593,  619 294,  595 850,  542 674,  496 788,  490 356,  451 447,  381 643,  347 006,  289 309,  215 085,  173 392,  139 111,  99 580,  61 293,  28 186,  8 994,  2 168,269,53.77973147
59,WORLD,2009,  655 242,  620 181,  604 173,  614 937,  605 103,  552 760,  499 080,  492 634,  456 235,  397 179,  351 147,  299 847,  226 197,  174 947,  142 123,  101 369,  63 402,  29 891,  9 286,  2 285,288,53.46214321
60,WORLD,2010,  662 000,  623 975,  605 128,  609 030,  613 648,  562 122,  505 063,  492 851,  462 875,  412 534,  353 029,  309 891,  238 845,  176 905,  144 938,  103 338,  65 519,  31 350,  9 872,  2 380,308,53.19680103
61,WORLD,2011,  668 509,  627 847,  607 415,  604 324,  618 119,  571 479,  513 793,  491 775,  470 405,  427 455,  354 727,  318 645,  251 149,  180 712,  147 401,  105 832,  67 389,  32 734,  10 645,  2 441,330,53.03595069
62,WORLD,2012,  675 141,  633 113,  610 300,  602 124,  617 020,  580 664,  525 100,  490 952,  478 013,  437 701,  359 494,  326 651,  262 391,  187 716,  149 131,  108 740,  69 024,  34 169,  11 417,  2 484,353,53.02417039
63,WORLD,2013,  680 780,  639 867,  613 788,  601 018,  613 764,  589 719,  536 726,  490 724,  483 254,  442 621,  371 201,  333 762,  273 096,  196 707,  150 521,  111 665,  70 639,  35 579,  12 243,  2 541,377,53.09898455
64,WORLD,2014,  684 753,  647 382,  617 933,  600 881,  609 316,  598 804,  546 477,  492 888,  485 805,  447 754,  386 729,  337 865,  283 274,  207 046,  152 273,  114 393,  72 263,  37 016,  13 095,  2 663,402,53.22190216
65,WORLD,2015,  687 534,  654 825,  621 947,  602 200,  603 232,  607 261,  555 541,  498 722,  486 244,  454 681,  401 965,  339 733,  292 991,  218 854,  154 270,  116 977,  74 025,  38 468,  13 825,  2 878,422,53.36065752
66,WORLD,2016,  689 598,  661 842,  626 078,  604 712,  598 620,  611 841,  564 864,  507 434,  485 136,  462 334,  416 632,  341 385,  301 362,  230 360,  157 902,  119 326,  76 168,  39 782,  14 514,  3 143,441,53.51414662
67,WORLD,2017,  690 361,  668 653,  631 596,  607 786,  596 914,  610 964,  574 227,  518 768,  484 138,  469 834,  426 628,  345 994,  308 916,  240 869,  164 413,  121 120,  78 569,  40 998,  15 223,  3 393,459,53.71284883
68,WORLD,2018,  688 660,  674 325,  638 451,  611 398,  596 336,  607 945,  583 570,  530 474,  483 799,  474 886,  431 477,  357 371,  315 665,  250 874,  172 674,  122 630,  80 949,  42 251,  15 921,  3 658,476,53.89369839
69,WORLD,2019,  684 873,  678 417,  645 916,  615 536,  596 534,  603 856,  592 986,  540 438,  485 896,  477 195,  436 583,  372 484,  319 587,  260 374,  182 095,  124 404,  83 165,  43 535,  16 658,  3 918,504,54.03307398
70,WORLD,2020,  679 146,  681 411,  653 182,  619 494,  598 043,  598 212,  601 653,  549 705,  491 738,  477 345,  443 293,  387 139,  321 115,  269 184,  192 455,  126 084,  85 059,  44 649,  17 370,  4 129,548,54.11475716
71,WORLD,2021,  671 477,  683 612,  659 934,  623 561,  600 697,  593 832,  606 213,  558 995,  500 404,  476 003,  450 467,  400 890,  321 938,  276 129,  201 868,  128 623,  86 296,  45 540,  17 902,  4 322,593,54.08720734
72,Sub-Saharan Africa,1950,  30 448,  23 599,  20 292,  17 857,  15 615,  13 517,  11 642,  9 855,  8 279,  6 857,  5 607,  4 483,  3 493,  2 609,  1 746,   989,   440,   132,   28,   4,0,82.59728847
73,Sub-Saharan Africa,1951,  31 059,  24 222,  20 685,  18 198,  15 947,  13 801,  11 895,  10 077,  8 460,  7 006,  5 722,  4 577,  3 546,  2 639,  1 764,   997,   444,   136,   27,   4,0,82.61380156
74,Sub-Saharan Africa,1952,  31 710,  24 855,  21 099,  18 547,  16 274,  14 090,  12 142,  10 306,  8 641,  7 161,  5 843,  4 673,  3 607,  2 670,  1 784,  1 006,   447,   139,   27,   4,0,82.68051205
75,Sub-Saharan Africa,1953,  32 467,  25 433,  21 554,  18 892,  16 582,  14 370,  12 380,  10 533,  8 824,  7 321,  5 971,  4 773,  3 675,  2 703,  1 806,  1 017,   452,   141,   27,   4,0,82.85250075
76,Sub-Saharan Africa,1954,  33 354,  25 923,  22 067,  19 237,  16 879,  14 649,  12 615,  10 758,  9 011,  7 484,  6 103,  4 877,  3 749,  2 740,  1 830,  1 029,   457,   143,   28,   4,0,83.11753479
77,Sub-Saharan Africa,1955,  34 265,  26 427,  22 639,  19 597,  17 178,  14 937,  12 859,  10 984,  9 204,  7 648,  6 238,  4 983,  3 829,  2 781,  1 854,  1 042,   462,   146,   29,   4,0,83.42740467
78,Sub-Saharan Africa,1956,  35 162,  26 996,  23 248,  19 977,  17 487,  15 230,  13 111,  11 210,  9 403,  7 812,  6 377,  5 091,  3 913,  2 828,  1 879,  1 055,   468,   148,   30,   4,0,83.76774557
79,Sub-Saharan Africa,1957,  36 054,  27 606,  23 860,  20 376,  17 809,  15 526,  13 371,  11 433,  9 609,  7 976,  6 518,  5 202,  3 998,  2 880,  1 903,  1 070,   474,   151,   31,   4,0,84.09528631
80,Sub-Saharan Africa,1958,  36 932,  28 321,  24 421,  20 799,  18 120,  15 805,  13 626,  11 648,  9 815,  8 143,  6 663,  5 314,  4 086,  2 935,  1 928,  1 084,   480,   153,   32,   4,0,84.45117958
81,Sub-Saharan Africa,1959,  37 885,  29 164,  24 897,  21 289,  18 448,  16 092,  13 893,  11 870,  10 026,  8 315,  6 811,  5 432,  4 177,  2 998,  1 957,  1 100,   487,   156,   32,   4,0,84.81257635
82,Sub-Saharan Africa,1960,  38 935,  30 020,  25 372,  21 861,  18 833,  16 411,  14 187,  12 112,  10 241,  8 490,  6 955,  5 553,  4 272,  3 067,  1 991,  1 118,   495,   159,   33,   4,0,85.09884782
83,Sub-Saharan Africa,1961,  40 046,  30 857,  25 909,  22 472,  19 247,  16 745,  14 487,  12 362,  10 456,  8 674,  7 102,  5 679,  4 370,  3 141,  2 030,  1 138,   504,   162,   34,   4,0,85.38864858
84,Sub-Saharan Africa,1962,  41 213,  31 726,  26 500,  23 088,  19 681,  17 094,  14 787,  12 618,  10 673,  8 870,  7 256,  5 811,  4 473,  3 218,  2 076,  1 161,   516,   166,   35,   5,0,85.73902814
85,Sub-Saharan Africa,1963,  42 412,  32 636,  27 201,  23 647,  20 149,  17 457,  15 093,  12 883,  10 891,  9 072,  7 414,  5 947,  4 579,  3 298,  2 126,  1 184,   528,   170,   36,   5,0,86.20599599
86,Sub-Saharan Africa,1964,  43 634,  33 597,  28 029,  24 125,  20 674,  17 833,  15 405,  13 156,  11 116,  9 277,  7 579,  6 085,  4 690,  3 379,  2 178,  1 208,   540,   174,   37,   5,0,86.79635197
87,Sub-Saharan Africa,1965,  44 884,  34 608,  28 880,  24 617,  21 253,  18 224,  15 721,  13 438,  11 348,  9 485,  7 751,  6 227,  4 803,  3 462,  2 234,  1 234,   552,   178,   38,   5,0,87.36168987
88,Sub-Saharan Africa,1966,  46 142,  35 665,  29 712,  25 164,  21 858,  18 631,  16 046,  13 726,  11 588,  9 692,  7 929,  6 369,  4 920,  3 546,  2 292,  1 262,   564,   182,   39,   5,0,87.85195636
89,Sub-Saharan Africa,1967,  47 418,  36 770,  30 571,  25 754,  22 465,  19 057,  16 389,  14 018,  11 834,  9 899,  8 114,  6 512,  5 038,  3 633,  2 350,  1 291,   576,   187,   40,   6,0,88.32454486
90,Sub-Saharan Africa,1968,  48 745,  37 905,  31 468,  26 453,  23 022,  19 520,  16 746,  14 316,  12 090,  10 108,  8 305,  6 660,  5 162,  3 724,  2 411,  1 324,   589,   192,   42,   6,0,88.77869549
91,Sub-Saharan Africa,1969,  50 125,  39 059,  32 411,  27 270,  23 492,  20 026,  17 106,  14 615,  12 354,  10 325,  8 501,  6 816,  5 291,  3 820,  2 474,  1 359,   602,   197,   43,   6,0,89.23013004
92,Sub-Saharan Africa,1970,  51 556,  40 245,  33 413,  28 102,  23 957,  20 570,  17 477,  14 920,  12 632,  10 557,  8 705,  6 981,  5 424,  3 920,  2 539,  1 395,   615,   201,   43,   6,1,89.69178197
93,Sub-Saharan Africa,1971,  53 038,  41 448,  34 471,  28 916,  24 456,  21 123,  17 858,  15 238,  12 921,  10 805,  8 917,  7 157,  5 562,  4 023,  2 604,  1 432,   629,   205,   44,   6,1,90.16013237
94,Sub-Saharan Africa,1972,  54 568,  42 656,  35 565,  29 754,  24 987,  21 662,  18 245,  15 563,  13 211,  11 057,  9 128,  7 339,  5 700,  4 130,  2 671,  1 470,   643,   209,   45,   6,1,90.62692631
95,Sub-Saharan Africa,1973,  56 158,  43 901,  36 676,  30 645,  25 645,  22 163,  18 669,  15 903,  13 505,  11 317,  9 343,  7 530,  5 843,  4 242,  2 742,  1 511,   659,   213,   46,   6,1,91.0259487
96,Sub-Saharan Africa,1974,  57 805,  45 212,  37 803,  31 597,  26 454,  22 613,  19 157,  16 260,  13 807,  11 587,  9 565,  7 726,  5 993,  4 359,  2 818,  1 555,   678,   218,   47,   6,1,91.34531488
97,Sub-Saharan Africa,1975,  59 508,  46 592,  38 946,  32 588,  27 284,  23 073,  19 691,  16 628,  14 110,  11 862,  9 793,  7 924,  6 150,  4 479,  2 898,  1 600,   699,   224,   48,   6,1,91.65977882
98,Sub-Saharan Africa,1976,  61 260,  48 030,  40 117,  33 628,  28 104,  23 579,  20 231,  16 992,  14 411,  12 134,  10 025,  8 122,  6 315,  4 602,  2 982,  1 650,   723,   231,   50,   6,1,91.99647898
99,Sub-Saharan Africa,1977,  63 050,  49 472,  41 267,  34 702,  28 967,  24 132,  20 754,  17 352,  14 708,  12 397,  10 255,  8 318,  6 484,  4 723,  3 070,  1 702,   750,   240,   52,   7,1,92.28768086
100,Sub-Saharan Africa,1978,  64 990,  50 980,  42 436,  35 801,  29 906,  24 833,  21 258,  17 761,  15 030,  12 675,  10 504,  8 532,  6 668,  4 854,  3 164,  1 758,   779,   251,   55,   7,1,92.51610592
101,Sub-Saharan Africa,1979,  67 048,  52 589,  43 691,  36 916,  30 900,  25 681,  21 716,  18 234,  15 373,  12 963,  10 763,  8 752,  6 859,  4 994,  3 263,  1 817,   810,   263,   59,   8,1,92.76567783
102,Sub-Saharan Africa,1980,  69 003,  54 201,  45 015,  38 036,  31 907,  26 555,  22 202,  18 748,  15 704,  13 221,  10 988,  8 932,  7 004,  5 123,  3 356,  1 871,   837,   273,   61,   9,1,92.99122487
103,Sub-Saharan Africa,1981,  71 024,  55 885,  46 451,  39 223,  32 925,  27 381,  22 752,  19 297,  16 055,  13 492,  11 217,  9 117,  7 150,  5 250,  3 449,  1 925,   862,   282,   63,   9,1,93.24877807
104,Sub-Saharan Africa,1982,  73 209,  57 679,  47 952,  40 491,  33 981,  28 193,  23 338,  19 859,  16 440,  13 797,  11 472,  9 337,  7 331,  5 388,  3 550,  1 986,   890,   292,   66,   10,1,93.52967629
105,Sub-Saharan Africa,1983,  75 316,  59 491,  49 415,  41 803,  35 040,  28 988,  23 991,  20 359,  16 837,  14 097,  11 714,  9 554,  7 503,  5 518,  3 649,  2 047,   918,   304,   69,   11,1,93.73521929
106,Sub-Saharan Africa,1984,  77 377,  61 373,  50 887,  43 195,  36 109,  29 775,  24 726,  20 786,  17 272,  14 398,  11 949,  9 770,  7 680,  5 647,  3 749,  2 106,   945,   314,   72,   11,1,93.88946823
107,Sub-Saharan Africa,1985,  79 526,  63 347,  52 435,  44 726,  37 248,  30 580,  25 477,  21 248,  17 764,  14 715,  12 185,  9 990,  7 875,  5 792,  3 852,  2 170,   975,   326,   75,   12,1,94.00443734
108,Sub-Saharan Africa,1986,  81 706,  65 462,  53 998,  46 207,  38 472,  31 496,  26 205,  21 785,  18 298,  15 066,  12 446,  10 213,  8 073,  5 940,  3 956,  2 236,  1 008,   338,   78,   12,1,94.07396731
109,Sub-Saharan Africa,1987,  83 938,  67 676,  55 640,  47 569,  39 780,  32 564,  26 943,  22 365,  18 848,  15 451,  12 744,  10 444,  8 272,  6 087,  4 064,  2 307,  1 046,   355,   85,   14,2,94.14067799
110,Sub-Saharan Africa,1988,  86 093,  69 792,  57 457,  48 931,  41 169,  33 706,  27 689,  22 988,  19 332,  15 840,  13 045,  10 674,  8 471,  6 234,  4 169,  2 381,  1 086,   372,   92,   16,2,94.14851545
111,Sub-Saharan Africa,1989,  88 206,  71 820,  59 425,  50 274,  42 588,  34 915,  28 497,  23 691,  19 749,  16 262,  13 358,  10 907,  8 665,  6 384,  4 271,  2 454,  1 124,   385,   94,   16,2,94.08336737
112,Sub-Saharan Africa,1990,  90 363,  73 812,  61 491,  51 612,  43 953,  36 155,  29 390,  24 406,  20 194,  16 730,  13 685,  11 143,  8 857,  6 543,  4 376,  2 524,  1 161,   396,   96,   16,2,94.00866923
113,Sub-Saharan Africa,1991,  92 393,  75 821,  63 603,  52 982,  45 265,  37 407,  30 349,  25 067,  20 676,  17 207,  14 008,  11 374,  9 044,  6 702,  4 482,  2 595,  1 200,   411,   100,   16,2,93.90393372
114,Sub-Saharan Africa,1992,  94 349,  77 879,  65 728,  54 487,  46 514,  38 639,  31 352,  25 714,  21 168,  17 674,  14 326,  11 613,  9 234,  6 867,  4 587,  2 663,  1 237,   425,   103,   17,2,93.77086969
115,Sub-Saharan Africa,1993,  96 382,  79 967,  67 854,  56 219,  47 697,  39 839,  32 372,  26 379,  21 717,  18 088,  14 645,  11 852,  9 413,  7 035,  4 695,  2 728,  1 274,   438,   105,   17,2,93.6294985
116,Sub-Saharan Africa,1994,  98 353,  81 918,  69 813,  58 121,  48 936,  41 121,  33 466,  27 110,  22 337,  18 433,  14 979,  12 075,  9 555,  7 182,  4 802,  2 792,  1 311,   452,   109,   18,2,93.22617645
117,Sub-Saharan Africa,1995,  100 461,  83 824,  71 725,  60 176,  50 252,  42 417,  34 603,  27 907,  22 953,  18 802,  15 361,  12 323,  9 711,  7 325,  4 918,  2 856,  1 347,   467,   112,   19,2,92.71653758
