,Country Name,Share +65,Healthcare costs
68,Finland,22.0597926,9.15348339
69,Fiji,5.342939221,3.81607008
70,France,20.67632521,11.05747223
71,"Micronesia, Fed. Sts.",5.2182423,11.4420805
72,Gabon,3.899458954,2.76836205
73,United Kingdom,18.53070305,10.15402699
74,Georgia,14.39327169,6.65744257
75,Ghana,3.332054873,3.41858864
76,Guinea,3.403468761,3.98389959
77,"Gambia, The",2.468189535,3.82171082
78,Guinea-Bissau,2.768876146,8.34976101
79,Equatorial Guinea,3.158566429,3.13503671
80,Greece,21.88048278,7.83788586
81,Grenada,9.550330621,4.96524
82,Guatemala,4.756254809,6.21161032
83,Guyana,5.847990555,4.93048668
84,High income,18.23533853,12.49221545
85,Honduras,4.00678634,7.2839179
86,Heavily indebted poor countries (HIPC),2.904067587,4.600336177
87,Croatia,21.10572513,6.97861767
88,Haiti,4.365388706,4.72808981
89,Hungary,19.61258297,6.35002232
90,IBRD only,8.977628816,5.486487601
91,IDA & IBRD total,7.575035108,5.371854216
92,IDA total,3.567092851,3.816511981
93,IDA blend,3.532791407,3.549354011
94,Indonesia,6.593818247,2.90493584
95,IDA only,3.58443586,4.042777537
96,India,6.47202495,3.0141468
97,Ireland,14.2427654,6.67931509
98,"Iran, Islamic Rep.",6.805110385,6.71061659
99,Iraq,3.364364912,4.47671509
100,Iceland,14.30782941,8.63868046
101,Israel,11.67314007,7.46131897
102,Italy,23.06287618,8.66856861
103,Jamaica,6.843835661,6.09748316
104,Jordan,3.492065169,7.58246946
105,Japan,29.27981368,10.74372482
106,Kazakhstan,7.679783972,2.78745675
107,Kenya,2.757806696,4.59182692
108,Kyrgyz Republic,4.157223929,4.49454117
109,Cambodia,5.015740622,6.98908329
110,Kiribati,3.624809845,10.26414394
111,St. Kitts and Nevis,8.766230364,5.39632845
112,"Korea, Rep.",15.0656922,8.1641655
113,Kuwait,3.526716751,5.49601221
114,Latin America & Caribbean (excluding high income),8.399028431,7.875940454
115,Lao PDR,4.206687056,2.59852362
116,Lebanon,8.992034029,8.64661503
117,Liberia,3.395560418,8.47005749
118,St. Lucia,8.727570016,4.32460737
119,Latin America & Caribbean,8.58186563,7.954589994
120,Least developed countries: UN classification,3.549923247,3.850671008
121,Low income,3.116695555,4.884928049
122,Sri Lanka,10.44922221,4.07979679
123,Lower middle income,5.789284155,3.7631838
124,Low & middle income,7.479171547,5.316958819
125,Lesotho,4.187106851,11.26946354
126,Late-demographic dividend,11.5334961,5.780575351
127,Lithuania,20.1774922,7.00600433
128,Luxembourg,14.44425806,5.37075996
129,Latvia,21.05227321,6.57814217
130,Morocco,6.874118521,5.30845118
131,Monaco,35.62132095,1.5251174
132,Moldova,13.00341439,6.3779459
133,Madagascar,3.175453982,3.68728375
134,Maldives,4.272281113,8.04001141
135,Middle East & North Africa,5.033754788,5.534756207
136,Mexico,7.881906725,5.43305254
137,Marshall Islands,3.571548342,16.34140015
138,Middle income,7.990836029,5.322479555
139,North Macedonia,14.2528342,7.25409985
140,Mali,2.538968905,3.89389849
141,Malta,18.82515991,8.21444321
142,Myanmar,6.26086487,4.67856407
143,Middle East & North Africa (excluding high income),5.269932854,5.724794428
144,Montenegro,15.59075565,8.32983208
145,Mongolia,4.123137102,3.76607823
146,Mozambique,2.592593938,7.83351135
147,Mauritania,3.340113145,3.30329728
148,Mauritius,11.28549487,6.19943714
149,Malawi,2.871059728,7.39341164
150,Malaysia,6.760912333,3.82514191
151,North America,15.97398016,16.32087376
152,Namibia,3.975873896,8.49700546
153,Niger,2.436368746,5.6686306
154,Nigeria,3.010140334,3.02666044
155,Nicaragua,4.952487453,8.4039259
156,Netherlands,19.31906629,10.13031101
157,Norway,17.39638278,10.52134705
158,Nepal,5.972242326,4.44515085
159,Nauru,1.9783209,9.78171635
160,New Zealand,15.26989934,9.74117661
161,OECD members,17.08764924,12.53005419
162,Oman,2.633828166,4.07190228
163,Other small states,5.517680978,4.718902016
164,Pakistan,4.1155596,3.37992716
165,Panama,8.143978592,7.58405781
166,Peru,8.161664541,5.21506882
167,Philippines,5.072536412,4.07676649
168,Palau,8.790779449,15.15048885
169,Papua New Guinea,2.965914908,2.30036092
170,Poland,17.83281071,6.44682503
171,Pre-demographic dividend,2.818821205,3.940020005
172,Portugal,22.02147674,9.53145981
173,Paraguay,6.042127088,7.17281008
174,Pacific island small states,4.534298677,5.325331219
175,Post-demographic dividend,19.34132178,12.95855152
176,Qatar,1.171936087,2.9106288
177,Romania,18.33270241,5.74447823
178,Russian Federation,14.90699887,5.64849138
179,Rwanda,3.054321346,6.41066742
180,South Asia,6.053732537,3.0956635
181,Saudi Arabia,2.291075743,5.68828773
182,Sudan,3.234326407,4.57356596
183,Senegal,3.172373174,4.13226938
184,Singapore,12.19557804,4.08152914
185,Solomon Islands,3.464554447,4.77362394
186,Sierra Leone,3.146177404,8.74976635
187,El Salvador,8.024364445,7.16578436
188,San Marino,19.38263477,6.39008522
189,Serbia,20.54142818,8.67206478
190,Sub-Saharan Africa (excluding high income),3.045592781,4.975850514
191,South Sudan,2.745259085,6.04213858
192,Sub-Saharan Africa,3.045971888,4.976053209
193,Small states,5.873478413,4.967671034
194,Sao Tome and Principe,3.774248715,5.52976227
195,Suriname,6.931278585,9.7369957
196,Slovak Republic,16.31628897,6.9586463
197,Slovenia,19.69069547,8.52386475
198,Sweden,19.96956736,10.86749268
199,Eswatini,3.845118001,6.78069067
200,Seychelles,7.40089583,5.1902914
201,Chad,2.034970713,4.3536315
202,East Asia & Pacific (IDA & IBRD countries),10.43052946,5.07072226
203,Europe & Central Asia (IDA & IBRD countries),12.71759689,5.585112865
204,Togo,3.020764835,5.72606897
205,Thailand,13.20834872,3.78912091
206,Tajikistan,3.17687592,7.10529375
207,Turkmenistan,4.542228364,6.56862497
208,Latin America & the Caribbean (IDA & IBRD countries),8.391679939,7.89340858
209,Timor-Leste,5.429199004,7.15850592
210,Middle East & North Africa (IDA & IBRD countries),5.292199544,5.724794428
211,Tonga,6.147183672,4.98149967
212,South Asia (IDA & IBRD),6.053732537,3.0956635
213,Sub-Saharan Africa (IDA & IBRD countries),3.045971888,4.976053209
214,Trinidad and Tobago,10.12776694,7.02007389
215,Tunisia,8.336196913,6.95845938
216,Turkiye,7.950830268,4.34409809
217,Tuvalu,5.823293173,23.96181297
218,Tanzania,3.120505298,3.82769322
219,Uganda,1.645365861,3.82522416
220,Ukraine,16.92043046,7.09860182
221,Upper middle income,10.92801536,5.844136135
222,Uruguay,15.16674574,9.34783173
223,United States,15.79180083,16.76706314
224,Uzbekistan,4.754650127,5.61760426
225,St. Vincent and the Grenadines,10.48478177,4.75291252
226,"Venezuela, RB",7.622560146,5.36708355
227,Vietnam,8.073652222,5.24965572
228,Vanuatu,3.703953128,3.36034679
229,World,9.196582939,9.830195007
230,Samoa,4.927668229,6.36309385
231,South Africa,5.950038266,9.10935497
232,Zambia,1.712227101,5.31220293
233,Zimbabwe,3.345780737,7.70356494
